name,owner,repo_name,stars,created_at,updated_at,primary_language,releases,open_issues,closed_issues,closed_issues_ratio,merged_pull_requests,age_years,days_since_update
twbs/bootstrap,twbs,bootstrap,172892,2011-07-29T21:19:00Z,2025-08-22T14:19:06Z,MDX,93,405,22346,0.98,8974,14.06,0
flutter/flutter,flutter,flutter,172020,2015-03-06T22:54:58Z,2025-08-22T17:09:17Z,Dart,7,11907,96936,0.89,43842,10.46,0
jackfrued/Python-100-Days,jackfrued,Python-100-Days,171160,2018-03-01T16:05:52Z,2025-08-22T15:24:31Z,Jupyter Notebook,0,573,118,0.17,13,7.48,0
github/gitignore,github,gitignore,168810,2010-11-08T20:17:14Z,2025-08-22T17:00:39Z,Unknown,0,0,0,0.0,1713,14.78,0
jlevy/the-art-of-command-line,jlevy,the-art-of-command-line,157860,2015-05-20T15:11:03Z,2025-08-22T12:08:07Z,Unknown,0,122,136,0.53,317,10.26,0
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,155832,2022-08-22T14:05:26Z,2025-08-22T16:57:53Z,Python,27,2363,5467,0.7,1874,3.0,0
Snailclimb/JavaGuide,Snailclimb,JavaGuide,151377,2018-05-07T13:27:00Z,2025-08-22T14:53:14Z,Java,0,72,1032,0.93,1180,7.29,0
ollama/ollama,ollama,ollama,150714,2023-06-26T19:39:32Z,2025-08-22T16:50:50Z,Go,143,1773,6234,0.78,2470,2.15,0
avelino/awesome-go,avelino,awesome-go,150545,2014-07-06T13:42:15Z,2025-08-22T17:01:49Z,Go,0,6,681,0.99,3458,11.13,0
huggingface/transformers,huggingface,transformers,148663,2018-10-29T13:56:00Z,2025-08-22T16:48:08Z,Python,224,1082,16737,0.94,16678,6.81,0
airbnb/javascript,airbnb,javascript,147286,2012-11-01T23:13:50Z,2025-08-22T15:54:03Z,JavaScript,0,98,1269,0.93,810,12.8,0
massgravel/Microsoft-Activation-Scripts,massgravel,Microsoft-Activation-Scripts,145586,2020-01-12T23:03:34Z,2025-08-22T16:59:47Z,Batchfile,24,0,721,1.0,6,5.61,0
ytdl-org/youtube-dl,ytdl-org,youtube-dl,136943,2010-10-31T14:35:07Z,2025-08-22T15:28:51Z,Python,341,3643,23125,0.86,1642,14.81,0
vercel/next.js,vercel,next.js,133928,2016-10-05T23:32:51Z,2025-08-22T17:13:39Z,JavaScript,1000,2323,21064,0.9,23655,8.88,0
f/awesome-chatgpt-prompts,f,awesome-chatgpt-prompts,133046,2022-12-05T13:54:13Z,2025-08-22T16:56:33Z,JavaScript,0,0,0,0.0,171,2.71,0
n8n-io/n8n,n8n-io,n8n,131846,2019-06-22T09:24:21Z,2025-08-22T17:10:35Z,TypeScript,382,622,4557,0.88,10641,6.17,0
golang/go,golang,go,129532,2014-08-19T04:33:40Z,2025-08-22T17:03:56Z,Go,0,9175,58763,0.86,1,11.01,0
labuladong/fucking-algorithm,labuladong,fucking-algorithm,128960,2020-02-19T09:01:23Z,2025-08-22T16:34:51Z,Markdown,1,2,916,1.0,238,5.51,0
yangshun/tech-interview-handbook,yangshun,tech-interview-handbook,128955,2016-07-05T05:00:48Z,2025-08-22T17:14:23Z,TypeScript,0,41,74,0.64,481,9.13,0
Genymobile/scrcpy,Genymobile,scrcpy,126945,2017-11-21T18:00:27Z,2025-08-22T17:09:38Z,C,47,2449,3171,0.56,113,7.75,0
521xueweihan/HelloGitHub,521xueweihan,HelloGitHub,125954,2016-05-04T06:24:11Z,2025-08-22T16:39:40Z,Python,57,214,2626,0.92,16,9.3,0
Chalarangelo/30-seconds-of-code,Chalarangelo,30-seconds-of-code,125045,2017-11-29T17:35:03Z,2025-08-22T16:43:32Z,JavaScript,12,0,300,1.0,827,7.73,0
facebook/react-native,facebook,react-native,123503,2015-01-09T18:10:16Z,2025-08-22T17:09:39Z,C++,410,653,26550,0.98,930,10.61,0
yt-dlp/yt-dlp,yt-dlp,yt-dlp,123375,2020-10-26T04:22:55Z,2025-08-22T17:15:04Z,Python,117,1595,8180,0.84,2906,4.82,0
microsoft/PowerToys,microsoft,PowerToys,122469,2019-05-01T17:44:02Z,2025-08-22T15:32:41Z,C#,117,7006,27565,0.8,5662,6.31,0
electron/electron,electron,electron,117991,2013-04-12T01:47:36Z,2025-08-22T17:09:25Z,C++,1000,754,20295,0.96,23270,12.36,0
kubernetes/kubernetes,kubernetes,kubernetes,117013,2014-06-06T22:56:04Z,2025-08-22T17:04:21Z,Go,755,1913,45786,0.96,62232,11.21,0
krahets/hello-algo,krahets,hello-algo,115659,2022-11-04T11:08:34Z,2025-08-22T14:28:33Z,Java,9,12,258,0.96,945,2.8,0
justjavac/free-programming-books-zh_CN,justjavac,free-programming-books-zh_CN,115035,2013-11-04T01:59:19Z,2025-08-22T16:27:09Z,Unknown,3,0,0,0.0,282,11.8,0
langchain-ai/langchain,langchain-ai,langchain,114017,2022-10-17T02:58:36Z,2025-08-22T17:05:49Z,Jupyter Notebook,947,213,8432,0.98,14490,2.85,0
nodejs/node,nodejs,node,112875,2014-11-26T19:57:11Z,2025-08-22T16:46:17Z,JavaScript,455,1719,17741,0.91,10764,10.74,0
langgenius/dify,langgenius,dify,111758,2023-04-12T07:40:24Z,2025-08-22T17:14:06Z,TypeScript,140,693,11913,0.95,7063,2.36,0
d3/d3,d3,d3,111333,2010-09-27T17:22:42Z,2025-08-22T14:41:26Z,Shell,194,9,2220,1.0,493,14.9,0
ripienaar/free-for-dev,ripienaar,free-for-dev,110634,2015-03-18T21:06:26Z,2025-08-22T17:13:24Z,HTML,0,0,0,0.0,2761,10.43,0
mrdoob/three.js,mrdoob,three.js,108229,2010-03-23T18:58:01Z,2025-08-22T17:14:28Z,JavaScript,171,454,12723,0.97,14397,15.41,0
open-webui/open-webui,open-webui,open-webui,107514,2023-10-06T22:08:27Z,2025-08-22T17:14:05Z,JavaScript,122,203,5978,0.97,2513,1.88,0
axios/axios,axios,axios,107440,2014-08-18T22:30:27Z,2025-08-22T14:31:19Z,JavaScript,97,257,4587,0.95,1001,11.01,0
rust-lang/rust,rust-lang,rust,105959,2010-06-16T20:39:03Z,2025-08-22T17:07:53Z,Rust,140,10641,48601,0.82,65648,15.18,0
excalidraw/excalidraw,excalidraw,excalidraw,105798,2020-01-02T01:04:43Z,2025-08-22T16:47:11Z,TypeScript,14,1838,2405,0.57,3702,5.64,0
microsoft/TypeScript,microsoft,TypeScript,105663,2014-06-17T15:28:39Z,2025-08-22T16:43:38Z,TypeScript,212,5586,36868,0.87,14674,11.18,0
langflow-ai/langflow,langflow-ai,langflow,104332,2023-02-08T22:28:03Z,2025-08-22T17:13:33Z,Python,262,438,2260,0.84,4628,2.53,0
denoland/deno,denoland,deno,103984,2018-05-15T01:34:26Z,2025-08-22T17:14:44Z,Rust,342,2272,10909,0.83,13340,7.27,0
goldbergyoni/nodebestpractices,goldbergyoni,nodebestpractices,103976,2017-09-15T08:33:19Z,2025-08-22T16:10:32Z,Dockerfile,0,43,285,0.87,765,7.93,0
facebook/create-react-app,facebook,create-react-app,103455,2016-07-17T14:55:11Z,2025-08-22T15:18:26Z,JavaScript,83,1835,6567,0.78,1949,9.1,0
GrowingGit/GitHub-Chinese-Top-Charts,GrowingGit,GitHub-Chinese-Top-Charts,101350,2019-09-05T03:01:56Z,2025-08-22T17:00:22Z,Java,0,179,161,0.47,0,5.96,0
godotengine/godot,godotengine,godot,100486,2014-01-04T16:05:36Z,2025-08-22T17:12:15Z,C++,61,12098,46026,0.79,38713,11.63,0
microsoft/terminal,microsoft,terminal,99298,2017-08-11T18:38:22Z,2025-08-22T13:35:08Z,C++,136,1595,11866,0.88,4189,8.03,0
deepseek-ai/DeepSeek-V3,deepseek-ai,DeepSeek-V3,98852,2024-12-26T09:52:40Z,2025-08-22T17:07:33Z,Python,1,32,557,0.95,21,0.65,0
angular/angular,angular,angular,98519,2014-09-18T16:12:01Z,2025-08-22T15:08:53Z,TypeScript,471,1346,28135,0.95,3892,10.93,0
fatedier/frp,fatedier,frp,97718,2015-12-21T15:24:59Z,2025-08-22T16:32:30Z,Go,106,60,3844,0.98,683,9.67,0
papers-we-love/papers-we-love,papers-we-love,papers-we-love,97387,2013-12-15T14:31:41Z,2025-08-22T16:40:37Z,Shell,0,1,245,1.0,437,11.69,0
Hack-with-Github/Awesome-Hacking,Hack-with-Github,Awesome-Hacking,96646,2016-03-30T15:47:10Z,2025-08-22T17:12:49Z,Unknown,0,0,0,0.0,34,9.4,0
mui/material-ui,mui,material-ui,96441,2014-08-18T19:11:54Z,2025-08-22T15:48:28Z,TypeScript,547,1614,18553,0.92,20806,11.01,0
iptv-org/iptv,iptv-org,iptv,96438,2018-11-14T22:00:57Z,2025-08-22T16:53:47Z,TypeScript,0,446,14393,0.97,6671,6.77,0
rustdesk/rustdesk,rustdesk,rustdesk,96165,2020-09-28T15:36:08Z,2025-08-22T16:32:05Z,Rust,31,55,3539,0.98,3637,4.9,0
tauri-apps/tauri,tauri-apps,tauri,95830,2019-07-13T09:09:37Z,2025-08-22T16:49:12Z,Rust,1000,1127,4645,0.8,5167,6.11,0
ant-design/ant-design,ant-design,ant-design,95736,2015-04-24T15:37:24Z,2025-08-22T16:23:48Z,TypeScript,714,1228,30400,0.96,15773,10.33,0
microsoft/generative-ai-for-beginners,microsoft,generative-ai-for-beginners,95370,2023-06-19T16:28:59Z,2025-08-22T16:53:20Z,Jupyter Notebook,0,10,166,0.94,388,2.18,0
nvbn/thefuck,nvbn,thefuck,93634,2015-04-08T15:08:04Z,2025-08-22T15:34:46Z,Python,17,288,472,0.62,481,10.37,0
ryanmcdermott/clean-code-javascript,ryanmcdermott,clean-code-javascript,93540,2016-11-25T22:25:41Z,2025-08-22T17:14:38Z,JavaScript,0,72,163,0.69,149,8.74,0
shadcn-ui/ui,shadcn-ui,ui,93429,2023-01-04T12:43:27Z,2025-08-22T16:52:39Z,TypeScript,52,967,2379,0.71,636,2.63,0
Anduin2017/HowToCook,Anduin2017,HowToCook,92702,2020-02-29T10:43:49Z,2025-08-22T16:57:41Z,Dockerfile,4,436,346,0.44,586,5.48,0
pytorch/pytorch,pytorch,pytorch,92589,2016-08-13T05:26:41Z,2025-08-22T16:48:52Z,Python,61,15521,37742,0.71,6193,9.02,0
iluwatar/java-design-patterns,iluwatar,java-design-patterns,92546,2014-08-09T16:45:18Z,2025-08-22T16:41:04Z,Java,0,129,830,0.87,1507,11.04,0
neovim/neovim,neovim,neovim,92164,2014-01-31T13:39:22Z,2025-08-22T16:05:05Z,Vim Script,45,1650,11477,0.87,16141,11.56,0
puppeteer/puppeteer,puppeteer,puppeteer,92087,2017-05-09T22:16:13Z,2025-08-22T17:14:12Z,TypeScript,560,265,6955,0.96,5424,8.28,0
microsoft/Web-Dev-For-Beginners,microsoft,Web-Dev-For-Beginners,91512,2020-11-10T02:44:00Z,2025-08-22T13:12:53Z,JavaScript,0,88,243,0.73,517,4.78,0
deepseek-ai/DeepSeek-R1,deepseek-ai,DeepSeek-R1,90958,2025-01-20T11:57:28Z,2025-08-22T16:45:09Z,Unknown,1,40,591,0.94,9,0.59,0
PanJiaChen/vue-element-admin,PanJiaChen,vue-element-admin,89802,2017-04-17T03:35:49Z,2025-08-22T10:29:37Z,Vue,49,1252,2357,0.65,311,8.35,0
tailwindlabs/tailwindcss,tailwindlabs,tailwindcss,89722,2017-10-06T14:59:14Z,2025-08-22T16:47:06Z,TypeScript,290,81,4461,0.98,3072,7.88,0
fastapi/fastapi,fastapi,fastapi,88661,2018-12-08T08:21:47Z,2025-08-22T16:43:59Z,Python,208,49,3417,0.99,2738,6.7,0
mtdvio/every-programmer-should-know,mtdvio,every-programmer-should-know,87901,2017-08-24T13:18:26Z,2025-08-22T15:50:05Z,Unknown,0,29,23,0.44,99,7.99,0
storybookjs/storybook,storybookjs,storybook,87573,2016-03-18T04:23:44Z,2025-08-22T16:00:20Z,TypeScript,1000,2080,11616,0.85,11483,9.43,0
supabase/supabase,supabase,supabase,87522,2019-10-12T05:56:49Z,2025-08-22T16:55:56Z,TypeScript,22,235,4427,0.95,12947,5.86,0
jaywcjlove/awesome-mac,jaywcjlove,awesome-mac,87503,2016-07-17T15:33:47Z,2025-08-22T16:49:45Z,JavaScript,12,114,367,0.76,991,9.1,0
openai/whisper,openai,whisper,87055,2022-09-16T20:02:54Z,2025-08-22T15:16:10Z,Python,13,0,0,0.0,119,2.93,0
nvm-sh/nvm,nvm-sh,nvm,86512,2010-04-15T17:47:47Z,2025-08-22T16:15:09Z,Shell,70,316,1999,0.86,729,15.35,0
comfyanonymous/ComfyUI,comfyanonymous,ComfyUI,86285,2023-01-17T03:15:56Z,2025-08-22T16:39:19Z,Python,73,2522,3672,0.59,1202,2.6,0
ChatGPTNextWeb/NextChat,ChatGPTNextWeb,NextChat,85583,2023-03-10T18:27:54Z,2025-08-22T16:10:25Z,TypeScript,77,659,2888,0.81,889,2.45,0
2dust/v2rayN,2dust,v2rayN,85366,2019-07-30T03:47:24Z,2025-08-22T17:06:28Z,C#,264,5,6019,1.0,273,6.06,0
ggml-org/llama.cpp,ggml-org,llama.cpp,85327,2023-03-10T18:58:00Z,2025-08-22T17:07:55Z,C++,1000,339,5373,0.94,5522,2.45,0
bitcoin/bitcoin,bitcoin,bitcoin,85147,2010-12-19T15:16:43Z,2025-08-22T15:24:12Z,C++,56,407,8277,0.95,15517,14.67,0
florinpop17/app-ideas,florinpop17,app-ideas,84956,2019-02-25T18:36:56Z,2025-08-22T16:17:50Z,Unknown,0,126,44,0.26,149,6.49,0
django/django,django,django,84653,2012-04-28T02:47:18Z,2025-08-22T16:52:56Z,Python,0,0,0,0.0,9861,13.32,0
sveltejs/svelte,sveltejs,svelte,83822,2016-11-20T18:13:05Z,2025-08-22T14:03:49Z,JavaScript,510,814,7684,0.9,5988,8.75,0
gin-gonic/gin,gin-gonic,gin,83680,2014-06-16T23:57:25Z,2025-08-22T16:30:15Z,Go,27,668,1680,0.72,1114,11.18,0
opencv/opencv,opencv,opencv,83638,2012-07-19T09:40:17Z,2025-08-22T13:50:05Z,C++,66,2603,8632,0.77,13085,13.09,0
gohugoio/hugo,gohugoio,hugo,83015,2013-07-04T15:26:26Z,2025-08-22T17:00:50Z,Go,337,439,7361,0.94,2959,12.13,0
mermaid-js/mermaid,mermaid-js,mermaid,82328,2014-11-01T23:52:32Z,2025-08-22T17:00:05Z,TypeScript,164,1273,2098,0.62,2440,10.8,0
gothinkster/realworld,gothinkster,realworld,82246,2016-02-26T20:49:53Z,2025-08-22T15:45:12Z,TypeScript,0,39,503,0.93,433,9.48,0
animate-css/animate.css,animate-css,animate.css,82062,2011-10-12T10:07:38Z,2025-08-22T16:54:20Z,CSS,22,39,841,0.96,315,13.86,0
laravel/laravel,laravel,laravel,81903,2011-06-08T03:06:08Z,2025-08-22T16:23:41Z,Blade,198,0,0,0.0,1641,14.21,0
macrozheng/mall,macrozheng,mall,81358,2018-04-04T01:11:44Z,2025-08-22T15:21:21Z,Java,3,10,487,0.98,1,7.38,0
DigitalPlatDev/FreeDomain,DigitalPlatDev,FreeDomain,81137,2024-05-30T13:23:00Z,2025-08-22T17:12:00Z,HTML,0,0,0,0.0,0,1.23,0
home-assistant/core,home-assistant,core,80855,2013-09-17T07:29:48Z,2025-08-22T15:01:01Z,Python,1000,2349,60141,0.96,75790,11.93,0
tonsky/FiraCode,tonsky,FiraCode,79934,2014-11-11T19:32:38Z,2025-08-22T15:11:35Z,Clojure,29,410,954,0.7,137,10.78,0
oven-sh/bun,oven-sh,bun,79859,2021-04-14T00:48:17Z,2025-08-22T17:12:30Z,Zig,196,4793,8313,0.63,5973,4.36,0
3b1b/manim,3b1b,manim,79697,2015-03-22T18:50:58Z,2025-08-22T16:19:36Z,Python,13,451,761,0.63,642,10.42,0
x1xhlol/system-prompts-and-models-of-ai-tools,x1xhlol,system-prompts-and-models-of-ai-tools,78306,2025-03-05T16:38:29Z,2025-08-22T17:12:47Z,Unknown,0,49,54,0.52,24,0.47,0
spring-projects/spring-boot,spring-projects,spring-boot,78172,2012-10-19T15:02:57Z,2025-08-22T16:58:52Z,Java,320,554,38734,0.99,42,12.84,0
doocs/advanced-java,doocs,advanced-java,78135,2018-10-06T11:38:30Z,2025-08-22T11:51:23Z,Java,1,1,146,0.99,88,6.88,0
bregman-arie/devops-exercises,bregman-arie,devops-exercises,78018,2019-10-03T17:31:21Z,2025-08-22T16:14:58Z,Python,0,35,64,0.65,302,5.89,0
tensorflow/models,tensorflow,models,77620,2016-02-05T01:15:20Z,2025-08-22T09:51:10Z,Python,50,1076,6236,0.85,2341,9.54,0
MunGell/awesome-for-beginners,MunGell,awesome-for-beginners,76828,2015-10-24T19:53:36Z,2025-08-22T16:44:25Z,Unknown,0,11,174,0.94,453,9.83,0
microsoft/ML-For-Beginners,microsoft,ML-For-Beginners,76766,2021-03-03T01:34:05Z,2025-08-22T16:57:27Z,HTML,0,6,141,0.96,374,4.47,0
DopplerHQ/awesome-interview-questions,DopplerHQ,awesome-interview-questions,76644,2015-11-28T09:48:17Z,2025-08-22T15:12:43Z,Unknown,0,27,34,0.56,175,9.73,0
nomic-ai/gpt4all,nomic-ai,gpt4all,76528,2023-03-27T18:49:32Z,2025-08-22T16:29:24Z,C++,38,698,1487,0.68,934,2.4,0
MisterBooo/LeetCodeAnimation,MisterBooo,LeetCodeAnimation,76405,2018-12-06T08:01:22Z,2025-08-22T13:15:30Z,Java,0,20,42,0.68,63,6.71,0
microsoft/playwright,microsoft,playwright,76265,2019-11-15T18:32:42Z,2025-08-22T16:51:47Z,TypeScript,151,835,15479,0.95,15070,5.77,0
netdata/netdata,netdata,netdata,75627,2013-06-17T18:39:10Z,2025-08-22T16:29:17Z,C,121,166,7949,0.98,10933,12.18,0
fighting41love/funNLP,fighting41love,funNLP,75600,2018-08-21T11:20:39Z,2025-08-22T16:01:58Z,Python,0,34,47,0.58,14,7.0,0
FortAwesome/Font-Awesome,FortAwesome,Font-Awesome,75589,2012-02-17T14:19:43Z,2025-08-22T16:44:46Z,JavaScript,60,3751,16001,0.81,212,13.51,0
ByteByteGoHq/system-design-101,ByteByteGoHq,system-design-101,75460,2023-09-18T20:52:03Z,2025-08-22T17:07:04Z,Unknown,0,37,17,0.31,23,1.92,0
syncthing/syncthing,syncthing,syncthing,75443,2013-11-26T09:48:21Z,2025-08-22T16:22:19Z,Go,440,330,5368,0.94,2758,11.74,0
anuraghazra/github-readme-stats,anuraghazra,github-readme-stats,75181,2020-07-09T10:34:22Z,2025-08-22T16:03:08Z,JavaScript,0,196,1108,0.85,1303,5.12,0
vitejs/vite,vitejs,vite,74850,2020-04-21T05:03:57Z,2025-08-22T16:23:37Z,TypeScript,598,464,7619,0.94,5586,5.34,0
typicode/json-server,typicode,json-server,74817,2013-11-27T13:21:13Z,2025-08-22T13:15:08Z,JavaScript,38,620,549,0.47,121,11.73,0
unionlabs/union,unionlabs,union,74433,2023-05-16T22:33:39Z,2025-08-22T17:12:46Z,Rust,95,232,1590,0.87,2758,2.27,0
ruanyf/weekly,ruanyf,weekly,74171,2018-10-13T12:36:07Z,2025-08-22T17:04:21Z,Unknown,0,6028,1081,0.15,101,6.86,0
immich-app/immich,immich-app,immich,73979,2022-02-03T15:56:27Z,2025-08-22T17:15:55Z,TypeScript,260,579,5705,0.91,7152,3.55,0
elastic/elasticsearch,elastic,elasticsearch,73599,2010-02-08T13:20:56Z,2025-08-22T17:02:14Z,Java,202,4324,36306,0.89,80569,15.53,0
louislam/uptime-kuma,louislam,uptime-kuma,73598,2021-07-03T01:02:42Z,2025-08-22T17:10:01Z,JavaScript,111,712,3455,0.83,1317,4.14,0
hoppscotch/hoppscotch,hoppscotch,hoppscotch,73596,2019-08-21T13:15:24Z,2025-08-22T17:03:45Z,TypeScript,83,490,1555,0.76,1870,6.0,0
coder/code-server,coder,code-server,73524,2019-02-27T16:50:41Z,2025-08-22T16:16:02Z,TypeScript,200,135,3569,0.96,1576,6.48,0
vuejs/awesome-vue,vuejs,awesome-vue,73196,2015-10-20T00:16:14Z,2025-08-22T13:50:10Z,Unknown,0,38,190,0.83,3574,9.84,0
junegunn/fzf,junegunn,fzf,73105,2013-10-23T16:04:23Z,2025-08-22T16:52:59Z,Go,70,235,2781,0.92,595,11.83,0
sdmg15/Best-websites-a-programmer-should-visit,sdmg15,Best-websites-a-programmer-should-visit,72886,2017-03-05T20:25:17Z,2025-08-22T17:13:24Z,Unknown,0,71,103,0.59,431,8.46,0
hacksider/Deep-Live-Cam,hacksider,Deep-Live-Cam,72650,2023-09-24T13:19:31Z,2025-08-22T16:30:45Z,Python,8,68,920,0.93,85,1.91,0
nestjs/nest,nestjs,nest,72358,2017-02-04T20:12:52Z,2025-08-22T16:25:06Z,TypeScript,131,29,5644,0.99,7412,8.54,0
microsoft/markitdown,microsoft,markitdown,72171,2024-11-13T19:56:40Z,2025-08-22T17:00:57Z,Python,14,254,69,0.21,147,0.77,0
d2l-ai/d2l-zh,d2l-ai,d2l-zh,71854,2017-08-23T04:40:24Z,2025-08-22T16:35:03Z,Python,16,0,0,0.0,1019,8.0,0
clash-verge-rev/clash-verge-rev,clash-verge-rev,clash-verge-rev,71422,2023-11-21T18:24:03Z,2025-08-22T17:07:44Z,TypeScript,50,113,3681,0.97,321,1.75,0
CompVis/stable-diffusion,CompVis,stable-diffusion,71366,2022-08-10T14:36:44Z,2025-08-22T16:52:39Z,Jupyter Notebook,0,532,195,0.27,5,3.03,0
google-gemini/gemini-cli,google-gemini,gemini-cli,71189,2025-04-17T17:04:31Z,2025-08-22T17:08:20Z,TypeScript,47,1443,2140,0.6,1922,0.35,0
thedaviddias/Front-End-Checklist,thedaviddias,Front-End-Checklist,70858,2017-10-16T10:12:36Z,2025-08-22T17:15:13Z,Unknown,1,1,147,0.99,179,7.85,0
abi/screenshot-to-code,abi,screenshot-to-code,70775,2023-11-14T17:53:32Z,2025-08-22T16:12:20Z,Python,0,104,278,0.73,49,1.77,0
redis/redis,redis,redis,70564,2009-03-21T22:32:25Z,2025-08-22T16:31:56Z,C,96,2152,4629,0.68,4162,16.42,0
moby/moby,moby,moby,70513,2013-01-18T18:10:57Z,2025-08-22T14:51:11Z,Go,237,3197,19928,0.86,21488,12.59,0
pallets/flask,pallets,flask,70208,2010-04-06T11:11:59Z,2025-08-22T16:05:41Z,Python,37,1,2691,1.0,1613,15.38,0
ventoy/Ventoy,ventoy,Ventoy,70048,2020-03-10T15:19:19Z,2025-08-22T16:27:45Z,C,105,861,1671,0.66,280,5.45,0
Developer-Y/cs-video-courses,Developer-Y,cs-video-courses,69615,2016-10-21T17:02:11Z,2025-08-22T17:13:37Z,Unknown,0,0,0,0.0,234,8.84,0
grafana/grafana,grafana,grafana,69570,2013-12-11T15:59:56Z,2025-08-22T17:05:52Z,TypeScript,550,3497,37485,0.91,56794,11.7,0
enaqx/awesome-react,enaqx,awesome-react,69513,2014-08-06T05:31:44Z,2025-08-22T13:51:13Z,Unknown,0,4,109,0.96,780,11.04,0
hakimel/reveal.js,hakimel,reveal.js,69455,2011-06-07T18:54:22Z,2025-08-22T15:00:33Z,JavaScript,49,773,1690,0.69,409,14.21,0
josephmisiti/awesome-machine-learning,josephmisiti,awesome-machine-learning,69413,2014-07-15T19:11:19Z,2025-08-22T17:12:21Z,Python,0,0,93,1.0,872,11.1,0
swisskyrepo/PayloadsAllTheThings,swisskyrepo,PayloadsAllTheThings,69366,2016-10-18T07:29:07Z,2025-08-22T17:07:47Z,Python,5,0,0,0.0,548,8.84,0
